Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
426,Jalen Hood-Schifino,21,PHI,SG,13,0,301,7.7,0.484,0.474,0.196,0.7,9.4,4.9,17,0.8,2,13.9,17.7,-0.2,0.1,-0.1,-0.023,-4.5,-2.6,-7.1,-0.4,,hoodsja01
427,Torrey Craig,34,2TM,SF,26,4,314,12.9,0.567,0.733,0.133,9.3,15.6,12.5,7.2,1.3,3.5,7.7,14.1,0.4,0.4,0.8,0.122,-1,0.1,-0.9,0.1,,craigto01
427,Torrey Craig,34,CHI,SF,9,1,113,17.2,0.663,0.778,0.089,7.6,15.5,11.6,6.3,0.8,0.8,0,17.3,0.3,0.1,0.4,0.173,3.4,-1.1,2.3,0.1,,craigto01
427,Torrey Craig,34,BOS,SF,17,3,201,10.5,0.474,0.689,0.178,10.3,15.6,13,7.6,1.5,5.1,14.2,12.3,0.1,0.3,0.4,0.094,-3.4,0.7,-2.7,0,,craigto01
428,Jordan McLaughlin,28,2TM,PG,46,0,314,12.3,0.6,0.639,0.306,2.1,8.5,5.3,21,2.5,0.3,16.4,13.3,0.4,0.2,0.6,0.098,-1.6,0,-1.6,0,,mclaujo01
428,Jordan McLaughlin,28,SAC,PG,28,0,190,9.4,0.519,0.591,0.364,2.4,10,6.2,15.7,2.8,0,17.7,14,0,0.2,0.2,0.045,-3.9,0.4,-3.5,-0.1,,mclaujo01
428,Jordan McLaughlin,28,SAS,PG,18,0,124,16.9,0.734,0.714,0.214,1.7,6.1,3.9,29.1,1.9,0.7,14,12.3,0.4,0,0.5,0.178,1.8,-0.5,1.3,0.1,,mclaujo01
429,Matisse Thybulle,27,POR,SG,15,5,312,17,0.592,0.545,0.17,4.7,13.6,9,12.7,5.1,2.6,12.1,14.4,0.4,0.6,0.9,0.146,0,5.1,5,0.6,,thybuma01
430,Isaac Jones,24,SAC,PF,40,0,304,15.2,0.678,0.096,0.434,8.1,12.9,10.5,5.6,0.8,3.2,13.9,16.3,0.5,0.2,0.7,0.115,-0.9,-0.8,-1.7,0,,jonesis01
431,Tyler Kolek,23,NYK,PG,41,0,296,10.3,0.453,0.573,0.207,3.1,7.3,5.2,29.5,2,1.3,16.7,15.8,0.1,0.3,0.4,0.058,-2.6,-0.3,-2.8,-0.1,,kolekty01
